algorithm,size,time,cpu_percent,memory_percent,path_length
BFS_checker,10,0.0008127689361572266,96.1,69.9,19
Astar,10,0.0005071163177490234,96.1,69.9,19
PRM,10,0.02034783363342285,95.0,69.9,22
Astar,10,0.00049591064453125,92.9,70.1,19
BFS_checker,10,0.0009877681732177734,92.5,70.1,19
PRM,10,0.013579130172729492,92.5,70.1,22
Astar,10,0.0004401206970214844,98.0,70.0,19
BFS_checker,10,0.0010819435119628906,98.0,70.0,19
PRM,10,0.01717090606689453,98.1,70.0,22
Astar,10,0.0005478858947753906,98.1,70.2,19
BFS_checker,10,0.0007250308990478516,97.5,70.2,19
PRM,10,0.03245115280151367,95.4,70.2,23
BFS_checker,10,0.0010089874267578125,97.4,70.1,19
Astar,10,0.0006082057952880859,97.4,70.1,19
PRM,10,0.018647193908691406,96.9,70.1,22
Astar,10,0.0007889270782470703,97.5,69.9,19
BFS_checker,10,0.002201080322265625,97.5,69.9,19
PRM,10,0.057917118072509766,95.0,69.9,22
BFS_checker,10,0.0011262893676757812,94.5,69.8,19
Astar,10,0.00049591064453125,95.1,69.8,19
PRM,10,0.027198076248168945,94.8,69.7,22
Astar,10,0.0007379055023193359,96.9,69.8,19
BFS_checker,10,0.0012328624725341797,97.0,69.8,19
PRM,10,0.028679847717285156,97.4,69.8,22
BFS_checker,10,0.0006861686706542969,71.9,69.8,19
Astar,10,0.0006561279296875,71.7,69.8,19
PRM,10,0.026424884796142578,72.1,69.8,22
BFS_checker,10,0.0011928081512451172,94.9,69.9,19
Astar,10,0.0005648136138916016,94.9,69.9,19
PRM,10,0.029799222946166992,93.1,69.9,22
BFS_checker,10,0.0011529922485351562,95.1,69.9,19
Astar,10,0.0006289482116699219,95.7,69.9,19
PRM,10,0.0198519229888916,94.7,69.9,22
BFS_checker,10,0.0006618499755859375,97.0,69.9,19
Astar,10,0.0003561973571777344,96.4,69.9,19
PRM,10,0.01076507568359375,95.4,69.9,22
Astar,10,0.00040912628173828125,96.9,69.9,19
BFS_checker,10,0.0013339519500732422,95.8,69.9,19
PRM,10,0.03138303756713867,94.9,69.9,22
BFS_checker,10,0.0010979175567626953,95.9,69.7,19
Astar,10,0.0005679130554199219,96.9,69.7,19
PRM,10,0.02492976188659668,96.4,69.7,23
BFS_checker,10,0.0008940696716308594,95.2,69.8,19
Astar,10,0.0005199909210205078,95.7,69.8,19
PRM,10,0.021029949188232422,95.7,69.8,22
Astar,10,0.0006880760192871094,96.4,69.8,19
BFS_checker,10,0.001146078109741211,97.6,69.8,19
PRM,10,0.02191615104675293,96.0,69.8,22
Astar,10,0.0007390975952148438,95.8,69.8,19
BFS_checker,10,0.0011348724365234375,95.8,69.8,19
PRM,10,0.029774904251098633,95.8,69.8,22
BFS_checker,10,0.0010309219360351562,50.0,69.7,19
Astar,10,0.0005228519439697266,0.0,69.8,19
PRM,10,0.01908397674560547,50.0,69.7,23
Astar,10,0.0006270408630371094,0.0,69.8,19
BFS_checker,10,0.0008289813995361328,50.0,69.8,19
PRM,10,0.022291898727416992,0.0,69.8,22
Astar,10,0.0004558563232421875,96.0,69.8,19
BFS_checker,10,0.0007841587066650391,96.0,69.8,19
PRM,10,0.016801118850708008,94.5,69.8,23
Astar,10,0.0006158351898193359,93.9,69.8,19
